"id","steps_participation_rate","intensity_participation_rate","calorie_participation_rate","heartrate_participation_rate","sleep_participation_rate","weightlog_participation_rate"
6290855005,77.42,90.32,90.32,0.00,0.00,0.00
4558609924,100.00,100.00,100.00,100.00,16.13,16.13
1927972279,54.84,100.00,100.00,0.00,16.13,3.23
7007744171,77.42,83.87,83.87,77.42,6.45,0.00
5577150313,90.32,96.77,96.77,90.32,83.87,3.23
1624580081,100.00,100.00,100.00,0.00,0.00,0.00
4319703577,96.77,100.00,100.00,0.00,83.87,6.45
1844505072,67.74,100.00,100.00,0.00,9.68,0.00
8877689391,100.00,100.00,100.00,100.00,0.00,77.42
5553957443,100.00,100.00,100.00,100.00,100.00,0.00
4445114986,100.00,100.00,100.00,0.00,90.32,0.00
2320127002,100.00,100.00,100.00,0.00,3.23,0.00
8583815059,80.65,96.77,96.77,0.00,0.00,0.00
6775888955,54.84,83.87,83.87,58.06,9.68,0.00
7086361926,96.77,100.00,100.00,0.00,77.42,0.00
4057192912,9.68,12.90,12.90,0.00,0.00,0.00
2347167796,58.06,58.06,58.06,58.06,48.39,0.00
6117666160,74.19,90.32,90.32,74.19,58.06,0.00
6962181067,100.00,100.00,100.00,100.00,100.00,96.77
4020332650,54.84,100.00,100.00,51.61,25.81,0.00
3372868164,64.52,64.52,64.52,0.00,0.00,0.00
2022484408,100.00,100.00,100.00,100.00,0.00,0.00
1644430081,96.77,96.77,96.77,0.00,12.90,0.00
1503960366,96.77,96.77,96.77,0.00,80.65,6.45
3977333714,93.55,93.55,93.55,0.00,90.32,0.00
4702921684,96.77,100.00,100.00,0.00,87.10,0.00
2873212765,100.00,100.00,100.00,0.00,0.00,6.45
4388161847,96.77,100.00,100.00,96.77,74.19,0.00
8053475328,100.00,100.00,100.00,0.00,9.68,0.00
8792009665,61.29,90.32,90.32,58.06,48.39,0.00
8378563200,100.00,100.00,100.00,0.00,100.00,0.00
8253242879,58.06,58.06,58.06,0.00,0.00,0.00
2026352035,100.00,100.00,100.00,12.90,90.32,0.00
